id,material,name,location.city,location.city_id,location.country,location.country id,latitude,longitude,purposes.abandoned,purposes.air traffic control tower,purposes.belltower,purposes.bridge,purposes.casino,purposes.commercial,purposes.education,purposes.exhibition,purposes.government,purposes.hospital,purposes.hotel,purposes.industrial,purposes.library,purposes.multiple,purposes.museum,purposes.observation,purposes.office,purposes.other,purposes.religious,purposes.residential,purposes.retail,purposes.serviced apartments,purposes.telecommunications,statistics.floors above,statistics.height,statistics.number of purposes,statistics.rank,status.current,status.completed.is completed,status.completed.year,status.started.is started,status.started.year
203,concrete,Trump International Hotel & Tower,Chicago,1539,US,163,41.88887024,-87.6264267,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,98,423.2200012,2,12,completed,TRUE,2009,TRUE,2005
200,steel,One World Trade Center,New York City,1641,US,163,40.71208954,-74.01322174,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,110,417,1,13,demolished,TRUE,1972,TRUE,1966
202,steel,Two World Trade Center,New York City,1641,US,163,40.71099091,-74.01313019,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,110,415.1400146,1,14,demolished,TRUE,1973,TRUE,1966
209,composite,2 World Trade Center,New York City,1641,US,163,40.71213913,-74.01126862,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,79,411,1,15,never completed,TRUE,0,TRUE,2010
19928,composite,2 World Trade Center,New York City,1641,US,163,40.71213913,-74.01126862,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,82,403.25,1,16,proposed,TRUE,2020,TRUE,2016
13325,steel/concrete,30 Hudson Yards,New York City,1641,US,163,40.75402069,-74.0008316,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,73,386.6099854,1,17,under construction,TRUE,2019,TRUE,2014
261,steel,Empire State Building,New York City,1641,US,163,40.74842072,-73.98560333,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,102,381,1,18,completed,TRUE,1931,TRUE,1930
282,steel,Larkin Building,New York City,1641,US,163,40.7575798,-73.99160004,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,110,368.2000122,1,19,vision,TRUE,0,TRUE,0
291,composite,Bank of America Tower,New York City,1641,US,163,40.75537872,-73.98435211,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,55,365.7999878,1,20,completed,TRUE,2009,TRUE,2004
19850,steel,Block 142,Houston,1593,US,163,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,356.6199951,3,21,vision,TRUE,0,TRUE,0
9401,concrete,Stratosphere Tower,Las Vegas,1610,US,163,36.1473999,-115.1554337,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,350.2200012,1,22,completed,TRUE,1996,TRUE,1994
339,steel,Aon Center,Chicago,1539,US,163,41.88515854,-87.62145233,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,83,346.2600098,1,23,completed,TRUE,1973,TRUE,1970
345,steel,John Hancock Center,Chicago,1539,US,163,41.8987999,-87.62306213,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100,343.6900024,2,24,completed,TRUE,1969,TRUE,1965
16192,composite,Comcast Innovation and Technology Center,Philadelphia,1657,US,163,39.9550209,-75.17028809,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,59,341.6799927,2,25,under construction,TRUE,2018,TRUE,2014
9686,composite,Wilshire Grand Center,Los Angeles,1611,US,163,34.04990005,-118.2600174,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,73,334.9700012,2,26,structurally topped out,TRUE,2017,TRUE,2013
17720,steel,WITI TV Tower,Shorewood,2217,US,163,43.0906105,-87.89720917,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,329,1,27,completed,TRUE,1962,TRUE,0
273,composite,3 World Trade Center,New York City,1641,US,163,40.71086884,-74.01157379,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,80,328.8800049,1,28,under construction,TRUE,2018,TRUE,2010
317,concrete,53 West 53rd,New York City,1641,US,163,40.7618103,-73.97817993,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,77,320.0400085,1,29,under construction,TRUE,2018,TRUE,2015
400,concrete,Signature Tower,Nashville,1640,US,163,36.16259003,-86.7802124,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,77,320,2,30,vision,TRUE,0,TRUE,0
420,concrete,Waterview Tower,Chicago,1539,US,163,41.88652039,-87.63143921,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,89,319.1400146,2,31,never completed,TRUE,0,TRUE,2006
422,steel,Chrysler Building,New York City,1641,US,163,40.7516098,-73.97534943,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,77,318.8999939,1,32,completed,TRUE,1930,TRUE,1928
423,steel,New York Times Tower,New York City,1641,US,163,40.75608826,-73.99004364,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,52,318.769989,1,33,completed,TRUE,2007,TRUE,2004
8765,composite,3 Hudson Boulevard,New York City,1641,US,163,40.75595093,-74.00128174,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,66,315.1600037,2,34,proposed,TRUE,2019,TRUE,2016
429,composite,Bank of America Plaza,Atlanta,1509,US,163,33.7707901,-84.38601685,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,55,311.7999878,1,35,completed,TRUE,1992,TRUE,1991
442,concrete,Empire World Condo Tower,Miami,1632,US,163,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,93,311.5100098,1,36,vision,TRUE,0,TRUE,0
441,concrete,Empire World Apartment Tower,Miami,1632,US,163,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,93,311.5,2,37,vision,TRUE,0,TRUE,0
445,steel,U.S. Bank Tower,Los Angeles,1611,US,163,34.05104065,-118.2543564,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,73,310.2900085,1,38,completed,TRUE,1990,TRUE,1987
14315,concrete,125 Greenwich Street,New York City,1641,US,163,40.70946884,-74.0127182,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,60,310,1,39,under construction,TRUE,2018,TRUE,2015
465,composite,The Franklin - North Tower,Chicago,1539,US,163,41.88034821,-87.63475037,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,60,306.9400024,1,40,completed,TRUE,1989,TRUE,1987
570,steel/concrete,One57,New York City,1641,US,163,40.76544189,-73.97907257,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,75,306.0700073,2,41,completed,TRUE,2014,TRUE,2009
472,composite,JPMorgan Chase Tower,Houston,1593,US,163,29.76041985,-95.36390686,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,75,305.4100037,1,42,completed,TRUE,1982,TRUE,1978
19910,concrete,Villa Magna I,Miami,1632,US,163,25.76107025,-80.18930817,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,303.2999878,1,43,vision,TRUE,0,TRUE,0
19911,concrete,Villa Magna II,Miami,1632,US,163,25.76143074,-80.1892395,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,303.2999878,1,43,vision,TRUE,0,TRUE,0
489,concrete,Two Prudential Plaza,Chicago,1539,US,163,41.88536835,-87.62258148,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,64,303.2799988,1,45,completed,TRUE,1990,TRUE,1988
493,steel,Wells Fargo Plaza,Houston,1593,US,163,29.75844955,-95.36826324,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,71,302.3699951,1,46,completed,TRUE,1983,TRUE,1979
545,composite,4 World Trade Center,New York City,1641,US,163,40.71031952,-74.01217651,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,65,297.730011,1,47,completed,TRUE,2014,TRUE,2008
546,composite,Comcast Center,Philadelphia,1657,US,163,39.95473862,-75.16847992,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,57,296.730011,1,48,completed,TRUE,2008,TRUE,2005
563,concrete,311 South Wacker Drive,Chicago,1539,US,163,41.87739182,-87.63555908,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,65,292.9200134,1,49,completed,TRUE,1990,TRUE,1988
18405,steel,70 Pine,New York City,1641,US,163,40.70634079,-74.00766754,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,67,290.1700134,1,50,completed,TRUE,1932,TRUE,1930
12389,concrete,SNCI NYC Tower,New York City,1641,US,163,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,57,289.5599976,1,51,vision,TRUE,0,TRUE,0
585,composite,Key Tower,Cleveland,1543,US,163,41.50099945,-81.69390869,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,57,288.6499939,1,52,completed,TRUE,1991,TRUE,1988
593,steel,One Liberty Place,Philadelphia,1657,US,163,39.95256042,-75.1681366,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,61,288.0400085,1,53,completed,TRUE,1987,TRUE,0
652,concrete,30 Park Place,New York City,1641,US,163,40.71274948,-74.00907898,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,67,285.6000061,2,54,architecturally topped out,TRUE,2016,TRUE,2008
611,composite,Columbia Center,Seattle,1680,US,163,47.60464096,-122.3305969,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,76,284.3800049,1,55,completed,TRUE,1984,TRUE,1982
619,steel,The Trump Building,New York City,1641,US,163,40.70692062,-74.00980377,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,71,282.5499878,1,56,completed,TRUE,1930,TRUE,1929
630,composite,Bank of America Plaza,Dallas,1554,US,163,32.78004074,-96.80393982,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,72,280.7200012,1,57,completed,TRUE,1985,TRUE,1983
648,steel,Citigroup Center,New York City,1641,US,163,40.75857162,-73.97038269,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,63,278.8999939,1,58,completed,TRUE,1977,TRUE,1974
14783,concrete,15 Hudson Yards,New York City,1641,US,163,40.75352859,-74.00289917,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,70,278.5799866,1,59,under construction,TRUE,2018,TRUE,2014
9263,concrete,Dallas Tower,Dallas,1554,US,163,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,278.2799988,2,60,vision,TRUE,0,TRUE,0
661,steel,Williams Tower,Houston,1593,US,163,29.73719025,-95.46121216,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,64,274.6300049,1,61,completed,TRUE,1982,TRUE,1981
14787,composite,425 Park Avenue,New York City,1641,US,163,40.7604599,-73.97109985,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,42,272.2000122,1,62,under construction,TRUE,2018,TRUE,2015
16020,steel,888 2nd Avenue,Seattle,1680,US,163,47.6043396,-122.3336105,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,60,270.6600037,2,63,proposed,TRUE,0,TRUE,0
683,steel,Renaissance Tower,Dallas,1554,US,163,32.78126144,-96.80191803,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,56,270.0599976,1,64,completed,TRUE,1986,TRUE,0
13326,composite,10 Hudson Yards,New York City,1641,US,163,40.75284958,-74.00132751,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,52,267.6700134,1,65,architecturally topped out,TRUE,2016,TRUE,2013
711,concrete,Bank of America Corporate Center,Charlotte,1544,US,163,35.22729111,-80.84208679,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,60,265.480011,1,66,completed,TRUE,1992,TRUE,1989
699,concrete,Eight Spruce Street,New York City,1641,US,163,40.71086121,-74.00566864,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,76,265.1799927,1,67,completed,TRUE,2011,TRUE,2006
708,concrete/steel,900 North Michigan Avenue,Chicago,1539,US,163,41.8996582,-87.62471008,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,66,265,4,68,completed,TRUE,1989,TRUE,0
15189,composite,Energy Tower at City Center,Midland,1624,US,163,31.99797058,-102.0762329,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,53,264.9599915,3,69,vision,TRUE,0,TRUE,0
724,concrete,SunTrust Plaza,Atlanta,1509,US,163,33.76269913,-84.38646698,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,60,264.25,1,70,completed,TRUE,1992,TRUE,1989
735,concrete,Trump World Tower,New York City,1641,US,163,40.75252151,-73.96766663,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,72,262.4400024,1,71,completed,TRUE,2001,TRUE,1999
739,concrete,Water Tower Place,Chicago,1539,US,163,41.89796829,-87.62284088,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,74,261.8800049,3,72,completed,TRUE,1976,TRUE,1972
886,concrete,Aqua,Chicago,1539,US,163,41.88647842,-87.61991882,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,86,261.75,2,73,completed,TRUE,2009,TRUE,2007
